Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /main-projects,650,0,200,334.69674061551746,11.470799996459391,3643.409199998132,8851.287692307693,7.3426533159374,0.0,200,360,480,560,850,1200,1500,1900,3600,3600,3600
POST,POST /auth/login,169,0,430,560.799120118123,202.20620000327472,2674.9161000043387,761.0,1.909089862143724,0.0,430,620,760,870,1100,1200,1600,2400,2700,2700,2700
POST,POST /documents,317,0,440,644.8428867509791,24.043700002948754,3771.1197000026004,638.0,3.580955540234086,0.0,440,740,1000,1200,1600,1900,2400,2700,3800,3800,3800
POST,POST /phases/{id}/promote,210,0,670,735.6730733328385,190.23939999897266,1958.7933000002522,773.0,2.3722418405336216,0.0,670,730,830,860,1100,1400,1600,1700,2000,2000,2000
POST,POST /sub-projects/{id}/payments,335,0,470,757.714358208972,42.08169999765232,4725.403800002823,451.0,3.7842905551369674,0.0,470,850,1100,1400,1900,2500,3100,3400,4700,4700,4700
GET,setup GET /departments,1,0,18.506000000343192,18.506000000343192,18.506000000343192,18.506000000343192,902.0,0.011296389716826769,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,setup GET /phases,216,0,13,31.050709258966823,10.059000000183005,703.8927999965381,1995.0,2.4400201788345823,0.0,13,15,17,18,34,87,270,340,700,700,700
GET,setup GET /users,4,0,12,13.999350001540734,10.608900003717281,21.257000000332482,1039.0,0.045185558867307074,0.0,13,13,21,21,21,21,21,21,21,21,21
POST,setup POST /documents,431,0,24,51.76623016235926,19.218599998566788,1444.506599997112,610.0023201856148,4.868743967952337,0.0,24,27,31,34,47,230,440,610,1400,1400,1400
POST,setup POST /main-projects,1,0,15.585599998303223,15.585599998303223,15.585599998303223,15.585599998303223,482.0,0.011296389716826769,0.0,16,16,16,16,16,16,16,16,16,16,16
POST,setup POST /main-projects/{id}/review,1,0,24.03069999854779,24.03069999854779,24.03069999854779,24.03069999854779,479.0,0.011296389716826769,0.0,24,24,24,24,24,24,24,24,24,24,24
POST,setup POST /main-projects/{id}/submit,1,0,21.932599993306212,21.932599993306212,21.932599993306212,21.932599993306212,482.0,0.011296389716826769,0.0,22,22,22,22,22,22,22,22,22,22,22
POST,setup POST /sub-projects,216,0,23,77.09008009226602,16.039900001487695,874.755600001663,602.0,2.4400201788345823,0.0,23,28,34,39,210,540,730,770,870,870,870
POST,setup POST /sub-projects/{id}/review,216,0,34,75.34618611124542,25.232399995729793,1511.8547999954899,599.0,2.4400201788345823,0.0,34,40,46,50,84,330,580,650,1500,1500,1500
POST,setup POST /sub-projects/{id}/submit,216,0,27,55.051482870483056,20.840600001974963,1303.8712999987183,602.0,2.4400201788345823,0.0,27,31,34,38,61,220,500,520,1300,1300,1300
POST,setup POST /users/{id}/reset-password,4,0,202.87420000386192,210.019200001625,202.87420000386192,217.1754000009969,438.0,0.045185558867307074,0.0,220,220,220,220,220,220,220,220,220,220,220
POST,setup login,3,0,209.09969999775058,206.32863333594287,202.07850000588223,209.09969999775058,767.6666666666666,0.033889169150480306,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,setup login admin,1,0,251.5676999973948,251.5676999973948,251.5676999973948,251.5676999973948,729.0,0.011296389716826769,0.0,250,250,250,250,250,250,250,250,250,250,250
POST,setup login finance,1,0,205.1858999984688,205.1858999984688,205.1858999984688,205.1858999984688,774.0,0.011296389716826769,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,setup login leader,1,0,196.12550000601914,196.12550000601914,196.12550000601914,196.12550000601914,761.0,0.011296389716826769,0.0,200,200,200,200,200,200,200,200,200,200,200
POST,setup login manager,1,0,195.89989999803947,195.89989999803947,195.89989999803947,195.89989999803947,771.0,0.011296389716826769,0.0,200,200,200,200,200,200,200,200,200,200,200
,Aggregated,2995,0,57,334.339976427352,10.059000000183005,4725.403800002823,2502.3295492487478,33.83268720189617,0.0,57,280,500,620,950,1400,1900,2400,3600,4700,4700
